ticker,priceToEarning.top200AvgValue,priceToEarning.industryAvgValue,valueBeforeEbitda.top200AvgValue,valueBeforeEbitda.industryAvgValue,priceToBook.top200AvgValue,priceToBook.industryAvgValue,dividend.top200AvgValue,dividend.industryAvgValue,roe.top200AvgValue,roe.industryAvgValue,roa.top200AvgValue,roa.industryAvgValue,grossProfitMargin.top200AvgValue,grossProfitMargin.industryAvgValue,operatingProfitMargin.top200AvgValue,operatingProfitMargin.industryAvgValue,postTaxMargin.top200AvgValue,postTaxMargin.industryAvgValue,debtOnEquity.top200AvgValue,debtOnEquity.industryAvgValue,debtOnAsset.top200AvgValue,debtOnAsset.industryAvgValue,debtOnEbitda.top200AvgValue,debtOnEbitda.industryAvgValue,shortOnLongDebt.top200AvgValue,shortOnLongDebt.industryAvgValue,ebitOnInterest.top200AvgValue,ebitOnInterest.industryAvgValue,assetOnEquity.top200AvgValue,assetOnEquity.industryAvgValue,cashOnEquity.top200AvgValue,cashOnEquity.industryAvgValue,cashOnCapitalize.top200AvgValue,cashOnCapitalize.industryAvgValue,currentPayment.top200AvgValue,currentPayment.industryAvgValue,quickPayment.top200AvgValue,quickPayment.industryAvgValue,daysReceivable.top200AvgValue,daysReceivable.industryAvgValue,daysInventory.top200AvgValue,daysInventory.industryAvgValue,daysPayable.top200AvgValue,daysPayable.industryAvgValue,cashCirculation.top200AvgValue,cashCirculation.industryAvgValue,revenueOnWorkCapital.top200AvgValue,revenueOnWorkCapital.industryAvgValue,revenueOnAsset.top200AvgValue,revenueOnAsset.industryAvgValue,ebitOnRevenue.top200AvgValue,ebitOnRevenue.industryAvgValue,netDebtOnEbitda.top200AvgValue,netDebtOnEbitda.industryAvgValue,netDebtOnEquity.top200AvgValue,netDebtOnEquity.industryAvgValue,priceToSales.top200AvgValue,priceToSales.industryAvgValue,costOfFinancing.industryAvgValue,interestMargin.industryAvgValue,nonInterestOnToi.industryAvgValue,costToIncome.industryAvgValue,preProvisionOnToi.industryAvgValue,postTaxOnToi.industryAvgValue,depositOnEarnAsset.industryAvgValue,cancelDebt.industryAvgValue,badDebtPercentage.industryAvgValue,provisionOnBadDebt.industryAvgValue,loanOnDeposit.industryAvgValue,equityOnTotalAsset.industryAvgValue,badDebtOnAsset.industryAvgValue
SAB,14.4,22.4,13,14.3,1.7,2.3,0,0,0.094,0.054,0.031,0.02,0.29,0.145,0.15,0.06,0.117,0.036,1.4,0.9,0.6,0.5,2.2,0.8,1,5.8,2.8,2.1,2.5,2,0.1,0.056,0.06,0.061,1.7,1.5,1.4,0.9,147,67,81,70,33,24,0.2,0.1,2.1,4.8,0.4,0.9,0.15,0.06,2.2,0.8,0.6,0.2,2,0.6,,,,,,,,,,,,,
VJC,14.4,-14.7,13,157.8,1.7,7.2,0,0,0.094,0.039,0.031,0.005,0.29,0.193,0.15,0.066,0.117,0.085,1.4,0.7,0.6,0.4,2.2,0,1,0.5,2.8,0.7,2.5,1.7,0.1,0.046,0.06,0.036,1.7,1.1,1.4,1.1,147,69,81,12,33,32,0.2,0.1,2.1,1.8,0.4,0.3,0.15,0.066,2.2,0,0.6,0.2,2,1.6,,,,,,,,,,,,,
MWG,14.4,59.8,13,19.4,1.7,2.6,0,0,0.094,0.035,0.031,0.015,0.29,0.092,0.15,0.023,0.117,0.012,1.4,0.9,0.6,0.5,2.2,6.3,1,8.5,2.8,1.8,2.5,1.9,0.1,0.067,0.06,0.063,1.7,1.6,1.4,1,147,57,81,55,33,24,0.2,0.1,2.1,5.8,0.4,1.5,0.15,0.023,2.2,6.3,0.6,0.4,2,0.5,,,,,,,,,,,,,
PLX,14.4,11.1,13,8.8,1.7,1.2,0,0,0.094,0.065,0.031,0.028,0.29,0.087,0.15,0.043,0.117,0.034,1.4,1.2,0.6,0.5,2.2,2.6,1,1.3,2.8,2.1,2.5,2.3,0.1,0.238,0.06,0.267,1.7,1.7,1.4,1.5,147,84,81,41,33,42,0.2,0.3,2.1,4.3,0.4,0.7,0.15,0.043,2.2,2.6,0.6,0.2,2,0.4,,,,,,,,,,,,,
FPT,14.4,21.5,13,14,1.7,3.2,0,0,0.094,0.01,0.031,0.005,0.29,0.151,0.15,0.033,0.117,0.038,1.4,1.1,0.6,0.5,2.2,1.8,1,7.9,2.8,1.4,2.5,2.1,0.1,0.08,0.06,0.147,1.7,1.7,1.4,1.3,147,151,81,108,33,61,0.2,0.1,2.1,2.4,0.4,0.7,0.15,0.033,2.2,1.8,0.6,0.4,2,0.5,,,,,,,,,,,,,
MFS,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
ABC,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
VGI,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
FOX,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
PAI,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
